protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_417698.1,Ribosomal_L13,PF00572,6.1e-50,161.0,0.1,7.1e-50,160.8,0.1
NP_417713.2,S1,PF00575,3e-09,29.9,0.3,1.8e-08,27.4,0.0
NP_417737.1,ABC_tran,PF00005,5.9e-42,136.2,0.0,7.8e-42,135.8,0.0
NP_417741.1,Sua5_yciO_yrdC,PF01300,1e-48,157.8,0.0,1.2e-48,157.7,0.0
NP_417754.1,RNA_pol_A_bac,PF01000,8.1e-38,122.0,0.1,1.6e-37,121.1,0.1
NP_417754.1,RNA_pol_L,PF01193,5e-28,89.4,0.0,8.2e-28,88.7,0.0
NP_417755.1,S4,PF01479,1.4e-21,68.8,0.2,2.9e-21,67.8,0.2
NP_417756.1,Ribosomal_S11,PF00411,3.9e-57,184.2,0.8,4.7e-57,183.9,0.8
NP_417757.1,Ribosomal_S13,PF00416,7.7e-38,122.5,5.9,3.7e-36,117.1,5.9
NP_417759.1,SecY,PF00344,7.2e-124,405.7,18.9,9e-124,405.4,18.9
NP_417760.1,Ribosomal_L27A,PF00828,2.5e-15,49.5,3.1,3.7e-15,48.9,3.1
NP_417762.1,Ribosomal_S5_C,PF03719,7.9e-33,104.5,0.4,1.4e-32,103.8,0.4
NP_417762.1,Ribosomal_S5,PF00333,2.3e-32,103.6,2.6,4.1e-32,102.8,2.6
NP_417763.1,Ribosomal_L18p,PF00861,5.4e-42,135.6,4.2,5.9e-42,135.4,4.2
NP_417764.1,Ribosomal_L6,PF00347,3.6e-45,145.4,0.2,1.2e-24,79.7,0.0
NP_417765.1,Ribosomal_S8,PF00410,1.3e-51,166.6,0.1,1.4e-51,166.4,0.1
NP_417766.1,Ribosomal_S14,PF00253,4.4e-29,92.8,1.7,6.1e-29,92.3,1.7
NP_417767.1,Ribosomal_L5_C,PF00673,3.1e-44,141.8,0.0,4.9e-44,141.2,0.0
NP_417767.1,Ribosomal_L5,PF00281,5e-31,99.6,0.3,9.1e-31,98.7,0.3
NP_417769.1,Ribosomal_L14,PF00238,1.1e-57,185.9,0.5,1.2e-57,185.8,0.5
NP_417770.1,Ribosomal_S17,PF00366,1.3e-37,120.5,1.2,1.6e-37,120.2,1.2
NP_417771.1,Ribosomal_L29,PF00831,1.3e-25,81.9,7.6,1.4e-25,81.8,7.6
NP_417772.1,Ribosomal_L16,PF00252,2.1e-53,172.5,1.6,2.3e-53,172.4,1.6
NP_417773.1,Ribosomal_S3_C,PF00189,4.6e-43,138.4,1.0,8.5e-43,137.6,1.0
NP_417773.1,KH_2,PF07650,2.4e-22,71.4,3.6,5.5e-22,70.2,3.6
NP_417774.1,Ribosomal_L22,PF00237,4.9e-44,141.5,2.8,5.5e-44,141.4,2.8
NP_417775.1,Ribosomal_S19,PF00203,1.1e-40,130.1,0.1,1.3e-40,129.9,0.1
NP_417776.1,Ribosomal_L2_C,PF03947,1.7e-59,192.1,2.7,2.9e-59,191.4,2.7
NP_417776.1,Ribosomal_L2_N,PF00181,1.2e-39,127.1,0.4,7.1e-39,124.6,0.2
NP_417777.1,Ribosomal_L23,PF00276,5.6e-35,112.4,4.8,6.3e-35,112.2,4.8
NP_417778.1,Ribosomal_L4,PF00573,3.7e-74,241.2,1.1,4.2e-74,241.0,1.1
NP_417779.1,Ribosomal_L3,PF00297,2.5e-16,52.3,8.3,5.6e-16,51.1,6.6
NP_417780.1,Ribosomal_S10,PF00338,8.6e-38,121.4,0.1,9.6e-38,121.2,0.1
NP_417798.1,GTP_EFTU,PF00009,3.9e-66,214.9,0.0,5.1e-66,214.5,0.0
NP_417798.1,GTP_EFTU_D3,PF03143,1e-42,137.5,0.1,2.5e-42,136.3,0.1
NP_417798.1,GTP_EFTU_D2,PF03144,2.1e-22,72.2,7.1,2.1e-22,72.2,7.1
NP_417799.1,GTP_EFTU,PF00009,6.6e-67,217.4,0.1,1.1e-66,216.8,0.1
NP_417799.1,EFG_IV,PF03764,1e-48,156.9,0.0,2.2e-48,155.7,0.0
NP_417799.1,EFG_C,PF00679,1.2e-31,101.4,0.1,2.9e-31,100.2,0.1
NP_417799.1,GTP_EFTU_D2,PF03144,4.3e-21,67.9,0.7,1.1e-20,66.6,0.3
NP_417800.1,Ribosomal_S7,PF00177,1.1e-65,212.4,2.4,1.3e-65,212.2,2.4
NP_417801.1,Ribosom_S12_S23,PF00164,2.2e-44,142.4,0.4,2.7e-44,142.2,0.4
NP_417811.1,ABC_tran,PF00005,8.5e-53,171.3,7.2,4.8e-27,88.0,0.0
NP_417811.1,MMR_HSR1,PF01926,4.8e-10,32.3,1.1,6.1e-06,19.1,0.0
NP_417819.1,GATase,PF00117,2.8e-65,212.2,0.0,3.1e-65,212.1,0.0
NP_417824.1,Pyr_redox_2,PF07992,6.7e-58,189.0,0.1,1.1e-57,188.3,0.1
NP_417824.1,Pyr_redox,PF00070,1.2e-20,66.6,3.4,1.7e-19,62.9,0.7
NP_417843.1,tRNA-synt_1b,PF00579,1.1e-90,296.5,0.0,1.3e-90,296.2,0.0
NP_417859.1,S4,PF01479,2.3e-16,52.1,0.0,4.5e-16,51.1,0.0
NP_417863.1,HATPase_c,PF02518,4.3e-27,87.5,0.0,8.7e-27,86.5,0.0
NP_417866.4,S1,PF00575,1.2e-27,88.9,0.6,2.2e-27,88.0,0.6
NP_417868.1,MMR_HSR1,PF01926,1.1e-23,76.2,0.0,2e-23,75.4,0.0
NP_417868.1,GTP_EFTU,PF00009,2.9e-09,29.4,0.1,3.8e-07,22.5,0.1
NP_417880.1,AAA,PF00004,5.1e-09,29.4,0.0,1.5e-08,27.8,0.0
NP_417907.2,ABC_tran,PF00005,2.5e-36,118.0,0.0,4.4e-36,117.2,0.0
NP_417911.4,ABC_tran,PF00005,3.2e-38,124.1,0.0,4.6e-38,123.6,0.0
NP_417912.1,ABC_tran,PF00005,2.2e-36,118.2,0.0,3.5e-36,117.5,0.0
NP_417920.1,ABC_tran,PF00005,6.1e-43,139.4,0.0,8.5e-43,139.0,0.0
NP_417921.1,SRP54,PF00448,4.7e-82,267.0,2.3,4.7e-82,267.0,2.3
NP_417921.1,SRP54_N,PF02881,4.8e-17,54.7,0.7,4.8e-17,54.7,0.7
NP_417936.1,ABC_tran,PF00005,1.1e-28,93.3,0.0,1.5e-28,92.9,0.0
NP_417937.1,ABC_tran,PF00005,6e-43,139.5,0.0,8.6e-43,138.9,0.0
NP_417949.1,Pyr_redox_2,PF07992,1.8e-11,36.6,0.0,8.6e-11,34.4,0.0
NP_417957.1,Pyr_redox_2,PF07992,8.2e-74,241.2,2.6,8.4e-74,241.2,1.8
NP_417957.1,Pyr_redox,PF00070,2e-22,72.3,1.3,3.2e-22,71.6,0.0
NP_417997.1,ABC_tran,PF00005,9.1e-36,116.2,0.0,1.3e-35,115.7,0.0
NP_417998.1,ABC_tran,PF00005,5.3e-32,104.0,0.0,7.6e-32,103.5,0.0
NP_418016.1,DALR_1,PF05746,2.8e-13,42.7,0.5,7.7e-13,41.3,0.5
NP_418024.1,ABC_tran,PF00005,7e-58,187.8,0.3,1.4e-32,105.9,0.1
NP_418047.1,GTP_EFTU,PF00009,4e-37,120.3,0.1,1.4e-36,118.5,0.1
NP_418047.1,GTP_EFTU_D2,PF03144,2e-13,43.3,0.0,5.1e-13,42.1,0.0
NP_418047.1,MMR_HSR1,PF01926,1.1e-07,24.7,0.0,4e-07,22.9,0.0
NP_418109.1,Helicase_C,PF00271,3.5e-24,77.9,0.0,6.1e-21,67.5,0.0
NP_418109.1,tRNA_anti-codon,PF01336,4.4e-12,38.6,0.0,8.3e-12,37.7,0.0
NP_418124.4,HATPase_c,PF02518,5.3e-14,45.4,0.0,9.4e-14,44.6,0.0
NP_418157.1,AAA,PF00004,5.8e-09,29.2,0.0,4e-08,26.5,0.0
NP_418162.1,MMR_HSR1,PF01926,5.6e-29,93.3,0.0,3e-28,90.9,0.0
NP_418181.1,ABC_tran,PF00005,1.2e-37,122.3,0.0,1.7e-37,121.8,0.0
NP_418188.1,ATP-synt_ab,PF00006,4.2e-74,241.4,0.0,6.2e-74,240.9,0.0
NP_418188.1,ATP-synt_ab_N,PF02874,1.2e-20,66.5,2.5,2.9e-20,65.3,2.5
NP_418190.1,ATP-synt_ab,PF00006,2.8e-83,271.4,0.1,4.6e-83,270.7,0.1
NP_418190.1,ATP-synt_ab_C,PF00306,2.7e-48,156.2,0.8,5.1e-48,155.3,0.8
NP_418190.1,ATP-synt_ab_N,PF02874,2.3e-14,46.4,0.1,5.8e-14,45.1,0.1
NP_418193.1,ATP-synt_C,PF00137,2.7e-15,49.1,11.6,3.6e-15,48.7,11.6
NP_418205.1,ABC_tran,PF00005,3.4e-62,201.8,0.2,1e-33,109.6,0.0
NP_418214.2,AAA,PF00004,1.1e-06,21.9,0.6,5.3e-06,19.6,0.2
NP_418227.1,Helicase_C,PF00271,7.7e-34,109.0,0.0,7.7e-33,105.8,0.0
NP_418230.1,ATP-synt_ab,PF00006,4.1e-29,94.4,0.1,5.8e-29,93.9,0.1
NP_418238.1,Aminotran_5,PF00266,6e-11,34.5,0.1,7.8e-11,34.1,0.1
NP_418289.1,Peptidase_M24,PF00557,4.3e-46,150.0,0.2,5.3e-46,149.7,0.2
NP_418301.3,MMR_HSR1,PF01926,2.6e-21,68.6,0.0,4e-21,68.0,0.0
NP_418305.1,HATPase_c,PF02518,1.1e-23,76.6,0.0,2.5e-23,75.4,0.0
NP_418347.1,HATPase_c,PF02518,8.6e-29,93.0,0.0,9.7e-28,89.6,0.0
NP_418366.1,AAA,PF00004,2.7e-19,62.6,0.1,1.7e-09,30.9,0.0
NP_418370.1,Helicase_C,PF00271,2.3e-14,46.3,0.0,2.9e-09,29.9,0.0
NP_418375.1,AA_kinase,PF00696,9.8e-45,145.7,0.0,1.6e-44,145.1,0.0
NP_418394.3,AA_kinase,PF00696,8.2e-46,149.3,2.7,9.2e-46,149.1,2.7
NP_418397.2,Pyr_redox_2,PF07992,1e-65,214.7,0.0,1.3e-65,214.3,0.0
NP_418397.2,Pyr_redox,PF00070,7.2e-20,64.1,1.7,3.5e-17,55.5,0.0
NP_418407.1,GTP_EFTU,PF00009,3.9e-66,214.9,0.0,5.1e-66,214.5,0.0
NP_418407.1,GTP_EFTU_D3,PF03143,1e-42,137.5,0.1,2.5e-42,136.3,0.1
NP_418407.1,GTP_EFTU_D2,PF03144,2.1e-22,72.2,7.1,2.1e-22,72.2,7.1
NP_418410.1,Ribosomal_L11_N,PF03946,1.8e-32,103.7,0.3,6.7e-32,101.8,0.2
NP_418410.1,Ribosomal_L11,PF00298,2.6e-30,97.4,2.7,3.9e-30,96.9,2.7
NP_418411.1,Ribosomal_L1,PF00687,2.1e-69,225.8,1.1,2.5e-69,225.5,1.1
NP_418412.1,Ribosomal_L10,PF00466,5.5e-31,99.4,0.0,7.8e-31,98.9,0.0
NP_418414.1,RNA_pol_Rpb2_6,PF00562,2.5e-137,450.6,0.1,2.3e-135,444.1,0.1
NP_418414.1,RNA_pol_Rpb2_1,PF04563,3.9e-44,143.3,0.0,5.6e-43,139.5,0.0
NP_418414.1,RNA_pol_Rpb2_3,PF04565,2.5e-32,103.6,0.0,5.4e-32,102.6,0.0
NP_418414.1,RNA_pol_Rpb2_7,PF04560,1.2e-31,101.7,0.1,3.2e-31,100.4,0.1
NP_418415.1,RNA_pol_Rpb1_1,PF04997,1.4e-90,296.4,0.0,2.6e-90,295.6,0.0
NP_418415.1,RNA_pol_Rpb1_5,PF04998,1.1e-81,266.8,0.0,1.8e-81,266.1,0.0
NP_418415.1,RNA_pol_Rpb1_2,PF00623,1.8e-40,131.6,0.1,9e-30,96.8,0.0
NP_418415.1,RNA_pol_Rpb1_3,PF04983,8e-34,109.6,0.0,1.7e-33,108.5,0.0
NP_418431.1,HATPase_c,PF02518,3.5e-32,103.9,1.8,5.1e-32,103.4,0.1
NP_418432.1,AAA,PF00004,1e-06,21.9,0.0,2.3e-06,20.8,0.0
NP_418446.1,S4,PF01479,2.2e-16,52.1,2.9,4e-16,51.3,0.0
NP_418448.1,AA_kinase,PF00696,1.1e-48,158.6,0.2,1.7e-48,158.0,0.2
NP_418459.1,ABC_tran,PF00005,3e-37,121.0,0.0,5.5e-37,120.1,0.0
NP_418482.1,ABC_tran,PF00005,8e-24,77.5,0.7,5.5e-08,26.2,0.0
NP_418511.1,ABC_tran,PF00005,1.3e-59,193.4,0.1,7.9e-35,113.2,0.2
NP_418520.1,ABC_tran,PF00005,2e-34,111.8,0.0,2.5e-34,111.5,0.0
NP_418530.1,ABC_tran,PF00005,3.1e-40,130.7,0.1,5.3e-40,129.9,0.1
NP_418533.1,MMR_HSR1,PF01926,1.3e-10,34.1,0.0,4.2e-05,16.4,0.0
NP_418536.1,HATPase_c,PF02518,1.1e-23,76.6,0.0,1.8e-23,75.9,0.0
NP_418549.1,HATPase_c,PF02518,5e-25,80.9,0.0,1.2e-24,79.6,0.0
NP_418553.1,tRNA-synt_2,PF00152,3.6e-99,324.3,1.2,4.9e-99,323.9,1.2
NP_418553.1,tRNA_anti-codon,PF01336,2e-19,62.1,0.0,3.6e-19,61.3,0.0
NP_418553.1,tRNA-synt_2d,PF01409,1.3e-07,24.0,2.4,0.00017,13.8,0.2
NP_418578.1,Pyr_redox_2,PF07992,2.9e-13,42.5,0.5,5.5e-07,21.9,0.4
NP_418579.2,tRNA-synt_2,PF00152,4.1e-54,176.3,0.0,5.4e-54,176.0,0.0
NP_418585.4,MMR_HSR1,PF01926,3.1e-07,23.3,0.0,7.5e-07,22.0,0.0
NP_418591.1,HATPase_c,PF02518,1.1e-10,34.6,0.0,2.9e-10,33.3,0.0
NP_418594.1,MMR_HSR1,PF01926,5.4e-25,80.5,0.1,1.7e-24,78.9,0.1
NP_418600.4,S1,PF00575,3.6e-21,68.1,0.3,8.3e-21,66.9,0.3
NP_418639.1,CBS,PF00571,7.5e-10,31.8,1.6,5.7e-06,19.4,0.1
NP_418679.1,tRNA-synt_1,PF00133,7.3e-167,547.9,1.8,9.5e-167,547.5,1.8
NP_418679.1,Anticodon_1,PF08264,1.5e-45,147.4,0.0,3.2e-45,146.3,0.0
NP_418679.1,tRNA-synt_1g,PF09334,4.8e-20,64.3,1.5,8e-10,30.6,0.1
NP_418707.1,ABC_tran,PF00005,2.8e-38,124.3,0.0,4.3e-38,123.7,0.0
NP_418766.4,AAA,PF00004,1.6e-08,27.8,0.0,3.4e-08,26.7,0.0
NP_418770.2,Helicase_C,PF00271,3e-12,39.5,1.4,5e-12,38.8,0.1
NP_418781.1,AAA,PF00004,8.8e-09,28.6,0.1,1.4e-08,27.9,0.1
NP_418792.1,GTP_EFTU,PF00009,9e-51,164.8,0.0,1.5e-50,164.1,0.0
NP_418792.1,GTP_EFTU_D2,PF03144,4.2e-16,51.9,0.1,1.2e-15,50.5,0.1
NP_418792.1,MMR_HSR1,PF01926,1.3e-07,24.5,0.0,4e-07,22.9,0.0
NP_418808.1,ABC_tran,PF00005,1.8e-61,199.4,0.0,7.1e-32,103.6,0.0
NP_418808.1,MMR_HSR1,PF01926,1.4e-07,24.3,0.1,0.00043,13.1,0.0
NP_418816.1,HATPase_c,PF02518,9.5e-25,80.0,0.0,1.8e-24,79.1,0.0
YP_009518751.1,AAA,PF00004,3.2e-14,46.2,0.1,1.9e-13,43.8,0.0
YP_010051194.1,AAA,PF00004,2.1e-29,95.3,0.1,1.5e-15,50.5,0.0
YP_010051217.1,AAA,PF00004,6.1e-09,29.1,0.0,1.3e-08,28.1,0.0
YP_010283911.1,HATPase_c,PF02518,6.5e-21,67.6,0.6,2.5e-20,65.7,0.2
YP_010283915.1,IF-2,PF11987,1e-45,147.2,3.5,3.3e-45,145.5,3.5
YP_010283915.1,GTP_EFTU,PF00009,8.8e-42,135.5,1.3,6.5e-40,129.4,1.3
YP_010283915.1,GTP_EFTU_D2,PF03144,5.3e-15,48.4,9.2,3.3e-12,39.5,1.3
YP_010283915.1,MMR_HSR1,PF01926,3.1e-13,42.6,0.1,9.5e-13,41.0,0.1
YP_010283916.1,IF-2,PF11987,1e-45,147.1,3.5,3.3e-45,145.5,3.5
YP_010283916.1,GTP_EFTU,PF00009,9.2e-42,135.4,1.3,6.4e-40,129.4,1.3
YP_010283916.1,GTP_EFTU_D2,PF03144,5.3e-15,48.4,9.3,3.2e-12,39.5,1.3
YP_010283916.1,MMR_HSR1,PF01926,3.1e-13,42.6,0.1,9.4e-13,41.0,0.1
YP_025300.1,ABC_tran,PF00005,3.7e-32,104.5,0.0,5e-32,104.1,0.0
YP_026169.1,Aminotran_5,PF00266,3.5e-92,301.8,0.0,4.1e-92,301.6,0.0
YP_026171.3,CBS,PF00571,4.1e-11,35.8,0.4,1.2e-08,28.0,0.0
YP_026173.1,MMR_HSR1,PF01926,4.2e-18,58.3,0.0,6.6e-18,57.6,0.0
YP_026207.1,HATPase_c,PF02518,1.8e-34,111.3,0.1,4.5e-34,110.0,0.1
YP_026225.1,ABC_tran,PF00005,1.3e-62,203.1,0.0,3.4e-32,104.6,0.0
YP_026241.1,Toprim,PF01751,1.6e-21,69.0,0.0,4.7e-21,67.6,0.0
YP_026241.1,HATPase_c,PF02518,2.6e-20,65.7,0.2,6e-20,64.5,0.2
YP_026263.3,Helicase_C,PF00271,3.2e-30,97.4,0.0,1e-25,82.9,0.0
YP_026271.1,TatD_DNase,PF01026,4.4e-77,251.5,0.0,5e-77,251.3,0.0
YP_026274.1,GTP_EFTU,PF00009,1.1e-62,203.6,0.1,1.9e-62,202.9,0.1
YP_026274.1,EFG_C,PF00679,2.7e-25,81.0,0.0,5.9e-25,79.9,0.0
YP_026274.1,GTP_EFTU_D2,PF03144,4.6e-14,45.4,3.7,1.3e-13,43.9,3.7
YP_026274.1,MMR_HSR1,PF01926,7.8e-09,28.4,0.2,8e-08,25.2,0.0
YP_026282.1,ABC_tran,PF00005,1.8e-37,121.7,0.0,2.3e-37,121.3,0.0
YP_026286.1,ABC_tran,PF00005,2.3e-59,192.6,0.0,3.1e-37,121.0,0.0
YP_026291.2,TatD_DNase,PF01026,1.9e-78,256.0,0.0,2.2e-78,255.8,0.0
