protein,pfam_name,pfam_accession,evalue,score
NP_415389.2,NAD_binding_10,PF13460,2.3e-09,38.0
NP_415389.2,adh_short,PF00106,1.6e-06,28.3
NP_415389.2,NAD_binding_4,PF07993,1.4e-06,28.2
NP_415390.4,NAD_binding_10,PF13460,8.2e-16,59.0
NP_415390.4,Epimerase,PF01370,3.4e-15,56.7
NP_415390.4,DUF2867,PF11066,9.1e-15,55.8
NP_415390.4,NmrA,PF05368,5e-11,43.3
NP_415390.4,3Beta_HSD,PF01073,1.7e-05,24.6
NP_415391.1,Beta_elim_lyase,PF01212,1.5e-110,369.7
NP_415391.1,Aminotran_1_2,PF00155,7.4e-10,39.1
NP_415392.1,TPP_enzyme_C,PF02775,2.7e-43,147.9
NP_415392.1,TPP_enzyme_M,PF00205,1.8e-34,119.0
NP_415392.1,TPP_enzyme_N,PF02776,2e-31,108.8
NP_415393.1,Fer2,PF00111,4.1e-17,62.5
NP_415393.1,NAD_binding_1,PF00175,1.8e-07,32.4
NP_415393.1,FAD_binding_6,PF00970,5.6e-06,27.3
NP_415394.4,Prismane,PF03063,5.7e-152,507.5
NP_415395.2,Lys_export,PF03956,1.6e-60,204.6
NP_415396.1,MIP,PF00230,1.7e-51,175.8
NP_415397.1,DUF2813,PF11398,2e-160,534.8
NP_415397.1,OLD-like_TOPRIM,PF20469,3.4e-16,60.1
NP_415397.1,AAA_15,PF13175,4.7e-12,46.7
NP_415397.1,AAA_21,PF13304,7.1e-10,39.9
NP_415398.1,DUF535,PF04393,1e-102,343.9
NP_415399.4,Beta-barrel_RND,PF25944,2.6e-26,92.4
NP_415399.4,BSH_RND,PF25917,6e-24,84.3
NP_415399.4,HH_MFP_RND,PF25876,3.4e-23,82.3
NP_415399.4,RND-MFP_C,PF25967,5.3e-23,81.3
NP_415399.4,Beta-barrel_RND_2,PF25954,5.9e-09,36.6
NP_415399.4,BSH_CzcB,PF25973,7.5e-08,32.8
NP_415400.1,MacB_PCD,PF12704,2.6e-47,162.4
NP_415400.1,ABC_tran,PF00005,1.1e-33,117.4
NP_415400.1,FtsX,PF02687,6.6e-19,68.7
NP_415401.1,CSD,PF00313,5e-29,100.6
NP_415402.1,ClpS,PF02617,5.7e-36,122.7
NP_415403.1,AAA_2,PF07724,2.9e-64,216.7
NP_415403.1,Clp_N,PF02861,1.8e-30,106.4
NP_415403.1,AAA_lid_9,PF17871,4.1e-29,101.1
NP_415403.1,ClpB_D2-small,PF10431,9.5e-27,93.4
NP_415403.1,AAA,PF00004,7.5e-26,91.7
NP_415403.1,AAA_5,PF07728,3e-19,70.0
NP_415403.1,Sigma54_activat,PF00158,3.7e-11,43.6
NP_415403.1,AAA_22,PF13401,2.9e-10,41.2
NP_415403.1,TniB,PF05621,3.5e-10,40.3
NP_415403.1,AAA_16,PF13191,2.4e-09,38.5
NP_415403.1,ResIII,PF04851,2.3e-06,28.2
NP_415403.1,TIP49,PF06068,3.3e-05,23.8
NP_415404.1,eIF-1a,PF01176,7.3e-29,99.8
NP_415405.1,Leu_Phe_trans,PF03588,6.3e-72,241.1
NP_415406.1,ABC_tran,PF00005,3.2e-33,115.8
NP_415406.1,ABC_membrane,PF00664,1.5e-11,45.1
NP_415406.1,AAA_21,PF13304,7.6e-08,33.2
NP_415407.1,ABC_membrane,PF00664,2.9e-51,175.3
NP_415407.1,ABC_tran,PF00005,5e-30,105.5
NP_415407.1,AAA_21,PF13304,1.4e-09,38.9
NP_415408.1,Pyr_redox_2,PF07992,6.2e-54,184.0
NP_415408.1,Pyr_redox_3,PF13738,7.7e-21,75.2
NP_415408.1,Pyr_redox,PF00070,3.1e-18,66.6
NP_415408.1,FAD_binding_2,PF00890,2.1e-06,27.8
NP_415408.1,GIDA,PF01134,3e-05,23.8
NP_415409.1,AsnC_trans_reg,PF01037,2.8e-29,101.4
NP_415409.1,HTH_24,PF13412,3.6e-22,78.3
NP_415409.1,HTH_AsnC-type,PF13404,6.9e-20,71.2
NP_415410.1,FtsK_SpoIIIE,PF01580,9.5e-88,293.9
NP_415410.1,FtsK_4TM,PF13491,5.7e-42,143.9
NP_415410.1,FtsK_alpha,PF17854,4.6e-30,104.4
NP_415410.1,FtsK_gamma,PF09397,1.1e-28,99.3
NP_415411.2,LolA,PF03548,1.9e-60,203.9
NP_415412.1,MgsA_C,PF12002,4e-64,216.1
NP_415412.1,AAA_assoc_2,PF16193,7.9e-25,87.5
NP_415412.1,AAA,PF00004,1.8e-19,71.1
NP_415412.1,RuvB_N,PF05496,6e-15,55.9
NP_415412.1,AAA_16,PF13191,1.1e-07,33.1
NP_415412.1,AAA_5,PF07728,1.3e-07,32.3
NP_415412.1,Mg_chelatase,PF01078,5.6e-07,29.7
NP_415412.1,Sigma54_activat,PF00158,5.3e-05,23.6
NP_415413.1,tRNA-synt_2b,PF00587,3.3e-43,148.4
NP_415413.1,Seryl_tRNA_N,PF02403,2.1e-34,118.6
NP_415414.4,Molybdopterin,PF00384,1e-83,281.9
NP_415414.4,Molydop_binding,PF01568,2.3e-28,99.0
NP_415414.4,Molybdop_Fe4S4,PF04879,2.1e-16,60.2
NP_415415.1,Fer4_11,PF13247,2.1e-29,102.2
NP_415415.1,Fer4_6,PF12837,6.5e-14,51.7
NP_415415.1,Fer4,PF00037,1.2e-12,47.6
NP_415415.1,Fer4_2,PF12797,1.2e-12,47.4
NP_415415.1,Fer4_7,PF12838,2.2e-10,41.4
NP_415415.1,Fer4_9,PF13187,3.6e-10,40.3
NP_415415.1,Fer4_10,PF13237,6.6e-10,39.4
NP_415416.1,DmsC,PF04976,1.8e-126,421.8
NP_415417.1,Isochorismatase,PF00857,1.6e-21,77.8
NP_415418.1,MFS_1,PF07690,3e-40,138.8
NP_415418.1,MFS_4,PF06779,1.4e-08,35.1
NP_415418.1,Sugar_tr,PF00083,2.9e-07,30.3
NP_415419.2,AA_permease_2,PF13520,2.5e-28,99.8
NP_415419.2,AA_permease,PF00324,7.6e-15,55.1
NP_415420.1,LysR_substrate,PF03466,5.5e-33,114.7
NP_415420.1,HTH_1,PF00126,9e-21,74.2
NP_415421.1,Flavodoxin_2,PF02525,4.3e-40,138.1
NP_415421.1,FMN_red,PF03358,2.4e-11,44.0
NP_415422.1,Radical_SAM,PF04055,3.6e-28,99.4
NP_415422.1,Fer4_12,PF13353,2.1e-17,64.3
NP_415423.1,PFL-like,PF02901,1.4e-220,734.9
NP_415423.1,Gly_radical,PF01228,4.1e-36,124.3
NP_415424.1,Form_Nir_trans,PF01226,4.2e-78,262.6
NP_415425.4,YcaO,PF02624,3.7e-76,257.1
NP_415425.4,YcaO_C,PF18381,2.5e-65,220.2
NP_415426.1,DUF421,PF04239,3.9e-16,59.3
NP_415427.1,Aminotran_5,PF00266,5.1e-72,243.5
NP_415428.1,EPSP_synthase,PF00275,9.1e-148,493.0
NP_415429.2,Peptidase_M48,PF01435,5.8e-28,98.6
NP_415430.1,Cytidylate_kin,PF02224,3e-87,292.4
NP_415430.1,Cytidylate_kin2,PF13189,1.6e-06,29.0
NP_415431.1,S1,PF00575,1.2e-103,340.2
NP_415431.1,S1_RRP5,PF23459,3.3e-23,82.6
NP_415431.1,Spt6_S1,PF21710,6.1e-17,62.3
NP_415431.1,PCB_OB,PF17092,6e-07,30.8
NP_415432.1,Bac_DNA_binding,PF00216,4.4e-31,107.5
NP_415432.1,HU-HIG,PF18291,2.9e-07,31.1
NP_415433.4,Competence,PF03772,3.9e-53,181.1
NP_415433.4,Lactamase_B,PF00753,2.2e-23,83.8
NP_415434.1,ABC_membrane,PF00664,1.5e-63,215.7
NP_415434.1,ABC_tran,PF00005,4.7e-36,125.0
NP_415435.1,LpxK,PF02606,1e-115,387.0
NP_415436.1,AlkZ-like,PF06224,4.6e-80,270.3
NP_415437.1,Trm112p,PF03966,1.5e-16,60.6
NP_415438.1,CTP_transf_3,PF02348,2.7e-80,269.8
NP_415438.1,NTP_transf_3,PF12804,4e-13,50.4
NP_415439.1,APH,PF01636,2.5e-06,28.0
NP_415440.1,DUF218,PF02698,8.3e-31,107.2
NP_415441.1,Methyltransf_31,PF13847,4.9e-19,69.2
NP_415441.1,Methyltransf_11,PF08241,6.8e-19,68.9
NP_415441.1,Methyltransf_25,PF13649,1.9e-18,67.5
NP_415441.1,Methyltransf_12,PF08242,7.8e-17,62.4
NP_415441.1,Methyltransf_23,PF13489,1.8e-16,60.9
NP_415441.1,Ubie_methyltran,PF01209,1.5e-10,41.4
NP_415441.1,Methyltransf_24,PF13578,3e-06,28.7
NP_415441.1,Methyltransf_15,PF09445,3.9e-06,27.1
NP_415441.1,MTS,PF05175,1.2e-05,25.6
NP_415442.1,MukF_M,PF17192,4.5e-85,284.0
NP_415442.1,MukF_C,PF17193,1.2e-80,269.9
NP_415442.1,WHD_KicB,PF03882,7e-58,194.4
NP_415443.2,MukE,PF04288,3e-127,422.8
NP_415443.2,MksE,PF21980,4e-51,174.2
NP_415444.1,MukB,PF04310,1.8e-122,407.9
NP_415444.1,MukB_hinge,PF16330,5.9e-67,225.1
NP_415444.1,SbcC_Walker_B,PF13558,2.5e-11,44.3
NP_415444.1,AAA_29,PF13555,1.1e-07,32.1
NP_415445.1,YkuD,PF03734,5.3e-28,99.0
NP_415445.1,Scaffold,PF20142,1.2e-17,65.5
NP_415445.1,PG_binding_1,PF01471,1.1e-09,38.9
NP_415446.1,Peptidase_M15_2,PF05951,3.1e-61,206.2
NP_415446.1,Peptidase_M15_3,PF08291,6.1e-13,49.4
NP_415447.1,Lactamase_B,PF00753,2.3e-41,142.5
NP_415448.1,Aminotran_1_2,PF00155,6.6e-99,332.1
NP_415449.1,Porin_1,PF00267,9.5e-139,463.1
NP_415449.1,Porin_4,PF13609,5.3e-20,73.0
NP_415450.1,tRNA-synt_2,PF00152,4.5e-64,217.0
NP_415450.1,tRNA_anti-codon,PF01336,1.4e-14,54.4
NP_415451.1,NAPRTase,PF04095,6.4e-94,314.8
NP_415451.1,NAPRTase_N,PF17767,2.1e-37,128.8
NP_415452.1,DUF3458_C,PF17432,6.5e-119,397.7
NP_415452.1,Peptidase_M1,PF01433,3.5e-59,200.6
NP_415452.1,DUF3458,PF11940,3.6e-33,114.4
NP_415452.1,Peptidase_M1_N,PF17900,1.8e-19,71.2
NP_415453.1,ABC_tran,PF00005,1.6e-30,107.1
NP_415454.4,BPD_transp_1,PF00528,2.1e-31,109.7
NP_415455.1,Bac_luciferase,PF00296,3.2e-73,247.4
NP_415456.4,NMT1,PF09084,2.7e-12,47.6
NP_415456.4,Phosphonate-bd,PF12974,3.1e-10,40.4
NP_415456.4,NMT1_2,PF13379,3.8e-09,37.4
NP_415456.4,OpuAC,PF04069,1.8e-08,34.9
NP_415457.1,FMN_red,PF03358,4.5e-36,124.3
NP_415457.1,Flavodoxin_2,PF02525,2.6e-07,31.1
NP_415458.2,Fimbrial,PF00419,1.7e-17,64.7
NP_415459.1,PapD_N,PF00345,1.9e-36,125.4
NP_415459.1,PapD_C,PF02753,9.5e-15,55.2
NP_415460.1,Usher,PF00577,5.9e-223,742.3
NP_415460.1,PapC_N,PF13954,4e-49,166.9
NP_415460.1,PapC_C,PF13953,8.8e-18,64.5
NP_415461.1,Fimbrial,PF00419,4.6e-29,102.3
NP_415462.1,Fimbrial,PF00419,8.9e-15,55.9
NP_415463.2,Fimbrial,PF00419,1e-19,72.0
NP_415464.4,PapD_N,PF00345,1.1e-26,93.9
NP_415464.4,PapD_C,PF02753,5.8e-14,52.7
NP_415465.1,DHO_dh,PF01180,7.4e-86,288.5
NP_415466.4,ZapC_N,PF21083,2.1e-37,127.8
NP_415466.4,ZapC_C,PF07126,5.7e-26,91.1
NP_415467.1,MOSC_N,PF03476,9.8e-34,116.3
NP_415467.1,MOSC,PF03473,8.8e-24,84.4
NP_415467.1,Fer2,PF00111,2.4e-15,56.8
NP_415468.1,UPF0020,PF01170,2.5e-68,230.2
NP_415468.1,RlmL_1st,PF22020,2.3e-19,69.7
NP_415468.1,Methyltrans_SAM,PF10672,7.9e-19,68.5
NP_415468.1,THUMP,PF02926,2.6e-16,60.4
NP_415468.1,Cons_hypoth95,PF03602,2.5e-14,53.9
NP_415468.1,Methyltransf_31,PF13847,1e-11,45.4
NP_415468.1,Methyltransf_25,PF13649,4.9e-09,37.4
NP_415468.1,Methyltransf_11,PF08241,1.6e-06,29.2
NP_415468.1,MTS,PF05175,1.2e-06,28.8
NP_415468.1,Methyltransf_15,PF09445,7e-05,23.1
NP_415469.1,ABC_tran,PF00005,1.1e-49,169.1
NP_415469.1,AAA_21,PF13304,5e-21,76.5
NP_415469.1,ABC_tran_CTD,PF16326,2.8e-21,76.0
NP_415469.1,SMC_N,PF02463,2.7e-12,47.2
NP_415469.1,ABC_tran_Xtn,PF12848,6.1e-12,46.0
NP_415469.1,AAA_22,PF13401,8.5e-11,42.9
NP_415469.1,AAA_15,PF13175,7.9e-09,36.1
NP_415469.1,AAA_23,PF13476,8e-08,33.7
NP_415469.1,AAA_30,PF13604,2.7e-07,31.1
NP_415469.1,AAA_29,PF13555,2.4e-07,31.0
NP_415469.1,RsgA_GTPase,PF03193,4.2e-07,30.5
NP_415469.1,AAA_18,PF13238,1.3e-06,29.5
NP_415469.1,AAA_28,PF13521,1.3e-06,29.3
NP_415469.1,TsaE,PF02367,4e-06,27.4
NP_415469.1,AAA,PF00004,7.2e-06,27.1
NP_415469.1,RNA_helicase,PF00910,3.3e-05,24.9
NP_415469.1,MMR_HSR1,PF01926,2.6e-05,24.9
NP_415469.1,PduV-EutP,PF10662,0.00033,21.1
NP_415470.1,PqiA,PF04403,1e-92,308.7
NP_415471.1,MlaD,PF02470,3e-37,127.3
NP_415472.2,ABC_trans_aux,PF03886,4.2e-40,137.6
NP_415473.1,RMF,PF04957,4e-22,78.6
NP_415474.1,FabA,PF07977,5.3e-53,178.9
NP_415474.1,ApeI-like,PF22818,9.8e-09,35.7
NP_415475.1,AAA_32,PF13654,6e-14,52.8
NP_415475.1,Lon_C,PF05362,3e-10,40.6
NP_415476.1,MatP,PF06303,4.9e-44,149.3
NP_415476.1,MatP_C,PF17414,9.1e-32,109.8
NP_415477.1,OmpA_membrane,PF01389,3.3e-79,265.4
NP_415477.1,OmpA,PF00691,4.6e-24,85.3
NP_415477.1,OMP_b-brl,PF13505,1.2e-21,78.3
NP_415478.1,SulA,PF03846,7e-51,171.0
NP_415479.1,TfoX_C,PF04994,1.3e-27,96.3
NP_415479.1,TfoX_N,PF04993,1.2e-25,90.0
NP_415480.2,FUSC-like,PF12805,5.3e-112,374.1
NP_415480.2,FUSC_2,PF13515,7e-29,101.1
NP_415480.2,FUSC,PF04632,3e-10,39.9
NP_415481.1,YccF,PF03733,1e-27,97.1
NP_415482.1,Helicase_IV_N,PF12462,6.4e-68,228.4
NP_415482.1,UvrD-helicase,PF00580,4.6e-49,168.1
NP_415482.1,AAA_19,PF13245,9.1e-22,78.3
NP_415482.1,UvrD_C,PF13361,1.2e-13,51.8
NP_415482.1,UvrD_C_2,PF13538,2.4e-10,40.7
NP_415482.1,AAA_30,PF13604,8.5e-07,29.5
NP_415483.2,MGS,PF02142,1.2e-17,64.4
NP_415484.1,DUF2057,PF09829,2e-49,168.9
NP_415485.4,CoA_binding_2,PF13380,2.2e-41,141.5
NP_415485.4,CoA_binding,PF02629,7.8e-05,23.9
NP_415486.4,YccV-like,PF08755,1.3e-20,74.2
NP_415487.4,Methyltrans_SAM,PF10672,9.4e-24,84.7
NP_415487.4,PUA_3,PF17785,6.4e-20,71.3
NP_415487.4,Cons_hypoth95,PF03602,3.1e-12,47.1
NP_415487.4,Methyltransf_31,PF13847,2.9e-09,37.4
NP_415487.4,MTS,PF05175,2.7e-06,27.7
NP_415487.4,Methyltransf_15,PF09445,0.00014,22.1
NP_415487.4,Methyltransf_11,PF08241,0.00036,21.7
NP_415488.1,Acylphosphatase,PF00708,1.1e-26,93.5
NP_415489.4,DsrC,PF04358,6.5e-45,152.5
NP_415490.1,Bax1-I,PF01027,4e-55,187.5
NP_415491.1,NiFe_hyd_SSU_C,PF14720,3.4e-31,108.0
NP_415491.1,Oxidored_q6,PF01058,4.7e-26,91.6
NP_415492.1,NiFeSe_Hases,PF00374,8.5e-222,738.2
NP_415492.1,HoxH,PF27537,5.9e-07,30.1
NP_415493.1,Ni_hydr_CYTB,PF01292,9e-39,133.7
NP_415494.1,HycI,PF01750,1.6e-41,141.8
NP_415495.1,HyaE,PF07449,1.9e-46,157.2
NP_415496.1,HupH_C,PF04809,2.2e-43,147.4
NP_415497.1,Cyt_bd_oxida_I,PF01654,1.8e-174,580.8
NP_415498.1,Cyt_bd_oxida_II,PF02322,9.2e-97,324.6
NP_415500.1,His_Phos_2,PF00328,4.5e-55,188.1
NP_415501.1,GNVR,PF13807,1.4e-32,112.0
NP_415501.1,Wzz,PF02706,1.7e-26,93.0
NP_415501.1,WZC_N,PF23607,3.5e-18,66.6
NP_415501.1,AAA_31,PF13614,9.7e-10,39.2
NP_415501.1,AAA_26,PF13500,2.2e-06,28.3
NP_415501.1,CbiA,PF01656,4.5e-06,27.2
NP_415502.4,LMWPc,PF01451,8.8e-37,127.1
NP_415503.1,SLBB_2,PF22461,1.5e-50,169.7
NP_415503.1,Poly_export,PF02563,7e-26,90.8
NP_415503.1,SLBB,PF10531,5.2e-16,58.8
NP_415503.1,Wza_C,PF18412,2e-15,56.8
NP_415504.1,YjbH,PF06082,8.3e-270,897.8
NP_415505.1,Caps_syn_GfcC_N,PF20616,5.6e-51,172.7
NP_415505.1,Caps_syn_GfcC_C,PF06251,1.5e-40,137.7
NP_415506.1,YjbF,PF11102,1.6e-69,233.9
NP_415508.1,DDE_Tnp_IS1,PF03400,1.5e-77,258.8
NP_415509.1,CSD,PF00313,3.8e-23,81.7
NP_415510.1,CSD,PF00313,1.9e-33,114.7
NP_415510.1,OB_RNB,PF08206,2.8e-05,24.3
NP_415511.1,YmcE_antitoxin,PF15939,1.7e-56,188.9
NP_415512.1,Fer4_5,PF12801,5.8e-23,81.2
NP_415512.1,Fer4,PF00037,5.1e-10,39.3
NP_415512.1,Fer4_10,PF13237,4.8e-08,33.4
NP_415512.1,Fer4_7,PF12838,8.2e-08,33.2
NP_415512.1,Fer4_6,PF12837,1.6e-07,31.5
NP_415512.1,Fer4_9,PF13187,3.4e-07,30.8
NP_415512.1,Fer4_3,PF12798,2.5e-06,28.4
NP_415512.1,Fer4_8,PF13183,6.2e-06,27.3
NP_415513.2,TorS_sensor_domain,PF21689,1.8e-87,294.0
NP_415513.2,HATPase_c,PF02518,7.2e-28,97.8
NP_415513.2,HisKA,PF00512,2.2e-18,66.6
NP_415513.2,Response_reg,PF00072,1.8e-14,54.4
NP_415513.2,Hpt,PF01627,3.1e-12,47.1
NP_415513.2,HAMP,PF00672,2.5e-07,31.5
NP_415514.1,Peripla_BP_1,PF00532,3.3e-87,293.1
NP_415514.1,Peripla_BP_4,PF13407,2e-22,80.5
NP_415515.1,Response_reg,PF00072,1.1e-28,100.1
NP_415515.1,Trans_reg_C,PF00486,1.8e-17,63.7
NP_415516.1,Cytochrom_NNT,PF03264,2.7e-71,239.5
NP_415516.1,Mtrc-MtrF_II-IV_dom,PF22113,3.8e-11,43.4
NP_415516.1,Cytochrome_C7,PF14522,6.7e-08,32.8
NP_415516.1,Paired_CXXCH_1,PF09699,7.7e-05,22.9
NP_415517.1,Molybdopterin,PF00384,1.7e-85,287.8
NP_415517.1,Molydop_binding,PF01568,7.2e-25,87.8
NP_415517.1,Molybdopterin_N,PF18364,3.5e-17,62.6
NP_415518.1,Nitrate_red_del,PF02613,6.6e-25,88.3
NP_415519.1,MerR_2,PF13591,2.9e-27,94.9
NP_415520.1,DnaJ_C,PF01556,1.4e-41,142.6
NP_415520.1,DnaJ,PF00226,1.5e-24,86.4
NP_415522.1,His_Phos_2,PF00328,2.2e-22,80.5
NP_415523.1,YccJ,PF13993,5.1e-40,136.1
NP_415524.1,FMN_red,PF03358,1.2e-15,58.0
NP_415524.1,Flavodoxin_1,PF00258,3.6e-10,40.7
NP_415524.1,Flavodoxin_5,PF12724,5e-06,27.5
NP_415525.2,KGG,PF10685,1.1e-18,67.7
NP_415526.4,Xan_ur_permease,PF00860,2.8e-104,349.5
NP_415527.4,Flavin_Reduct,PF01613,5.5e-39,134.3
NP_415528.1,Nitroreductase,PF00881,1.8e-13,51.6
NP_415529.1,Abhydrolase_1,PF00561,8e-25,88.5
NP_415529.1,Abhydrolase_6,PF12697,1.2e-19,72.4
NP_415529.1,Hydrolase_4,PF12146,1.4e-15,57.8
NP_415530.1,Ribonuc_L-PSP,PF01042,9e-35,119.9
NP_415531.2,Isochorismatase,PF00857,4.5e-42,144.7
NP_415532.3,Bac_luciferase,PF00296,1.4e-50,173.0
NP_415533.1,TetR_C_3,PF08362,2.3e-59,200.1
NP_415533.1,TetR_N,PF00440,9.6e-15,54.7
NP_415534.1,Aldedh,PF00171,1.5e-109,367.2
NP_415534.1,Pro_dh,PF01619,1.2e-106,356.9
NP_415534.1,Pro_dh-DNA_bdg,PF14850,2.2e-45,154.3
NP_415534.1,PutA_1st,PF21775,1.4e-21,76.2
NP_415534.1,PRODH,PF18327,9.7e-18,64.8
NP_415535.1,SSF,PF00474,1.5e-149,499.0
NP_415537.1,Peptidase_M75,PF09375,7.1e-42,144.5
NP_415537.1,Cupredoxin_1,PF13473,9.8e-25,87.2
NP_415538.1,Dyp_perox_C,PF20628,5.5e-56,189.5
NP_415538.1,Dyp_perox_N,PF04261,2.3e-48,164.5
NP_415539.1,PhoH,PF02562,3.2e-76,256.0
NP_415539.1,AAA_19,PF13245,1.6e-06,28.9
NP_415539.1,AAA_30,PF13604,1.7e-06,28.5
NP_415540.1,PgaD,PF13994,5.1e-16,59.5
NP_415541.1,Glycos_transf_2,PF00535,2.5e-39,135.5
NP_415541.1,Glyco_tranf_2_3,PF13641,1.6e-34,120.2
NP_415541.1,Glyco_trans_2_3,PF13632,1.8e-23,84.0
NP_415541.1,Glyco_transf_21,PF13506,7.5e-14,51.9
NP_415541.1,Glyco_tranf_2_2,PF10111,5.4e-10,39.8
NP_415541.1,Chitin_synth_2,PF03142,2.9e-08,33.4
NP_415542.1,GHL13,PF14883,7.4e-145,482.6
NP_415542.1,Polysacc_deac_1,PF01522,3.6e-23,82.4
NP_415543.1,PgaA_barrel,PF21197,2.4e-138,460.8
NP_415543.1,TPR_2,PF07719,3.4e-06,27.4
NP_415544.1,MASE4,PF17158,1.7e-71,240.9
NP_415544.1,GGDEF,PF00990,6e-51,173.0
NP_415545.1,rve,PF00665,8.8e-28,97.1
NP_415545.1,rve_2,PF13333,5.4e-22,78.2
NP_415545.1,HTH_21,PF13276,9.4e-12,45.6
NP_415545.1,rve_3,PF13683,2.3e-09,37.5
NP_415546.2,HTH_Tnp_1,PF01527,3.8e-10,40.4
NP_415551.2,2-Hacid_dh_C,PF02826,7.2e-46,156.3
NP_415551.2,NAD_binding_2,PF03446,1.4e-05,25.8
NP_415552.1,PHP,PF02811,2.1e-09,38.5
NP_415553.1,Nitrate_red_del,PF02613,6e-15,56.1
NP_415554.4,DUF1097,PF06496,1.8e-37,129.3
NP_415555.1,CsgG,PF03783,8.8e-93,310.6
NP_415556.1,CsgF,PF10614,4.6e-44,150.3
NP_415557.1,CsgE,PF10627,3.8e-32,111.3
NP_415558.1,GerE,PF00196,5.4e-21,74.6
NP_415558.1,VpsT-like_REC,PF21155,4.7e-06,27.4
NP_415559.1,Curlin_rpt,PF07012,1.4e-24,86.3
NP_415560.1,Curlin_rpt,PF07012,1.5e-27,95.8
NP_415561.1,Tafi-CsgC,PF10610,3.1e-54,181.8
NP_415562.1,YmdA,PF27184,8.6e-21,74.9
NP_415563.1,Macro,PF01661,2.5e-45,153.8
NP_415564.2,PLDc_2,PF13091,2.5e-40,137.9
NP_415564.2,PLDc,PF00614,9.4e-08,32.3
NP_415565.1,Acyl_transf_3,PF01757,7.5e-46,157.3
NP_415566.1,MdoG,PF04349,3.9e-199,663.1
NP_415567.1,Glycos_transf_2,PF00535,4.3e-20,72.9
NP_415567.1,Glyco_trans_2_3,PF13632,5.3e-11,43.3
NP_415567.1,Glyco_transf_21,PF13506,1.4e-05,24.7
NP_415568.1,DUF1375,PF07119,5.4e-08,33.6
NP_415569.4,MsyB,PF13984,5.7e-68,227.4
NP_415571.1,MFS_1,PF07690,4.6e-57,194.1
NP_415571.1,Sugar_tr,PF00083,2.5e-13,50.3
NP_415571.1,MFS_1_like,PF12832,5e-13,49.5
NP_415572.1,Lip_A_acyltrans,PF03279,2e-125,418.4
NP_415573.1,UPF0176_N,PF17773,1.9e-22,80.1
NP_415573.1,Rhodanese_C,PF12368,4.5e-21,75.5
NP_415573.1,Rhodanese,PF00581,1e-16,61.8
NP_415574.1,YceI,PF04264,3.2e-49,167.7
NP_415575.1,Ni_hydr_CYTB,PF01292,1.9e-31,109.9
NP_415576.1,DUF2770,PF10968,8.1e-19,67.8
NP_415577.1,DAO,PF01266,5.2e-52,178.1
NP_415577.1,Amino_oxidase,PF01593,0.00022,21.2
NP_415578.3,BssS,PF13991,9.4e-24,83.9
NP_415579.1,DinI,PF06183,2.3e-29,102.1
NP_415580.1,Amidohydro_1,PF01979,6.1e-21,75.6
NP_415581.1,DUF1439,PF07273,6e-53,179.3
NP_415582.1,Glutaredoxin2_C,PF04399,2.3e-48,163.9
NP_415582.1,GST_N_3,PF13417,5.5e-14,52.8
NP_415582.1,GST_N_2,PF13409,6.4e-12,46.5
NP_415583.4,MFS_1,PF07690,4.4e-36,125.1
NP_415584.1,Acetyltransf_3,PF13302,2.5e-20,74.2
NP_415584.1,Acetyltransf_1,PF00583,5.6e-11,43.3
NP_415584.1,Acetyltransf_4,PF13420,5.2e-09,36.9
NP_415585.1,DUF480,PF04337,3.2e-62,209.6
NP_415586.1,YceM-like_C,PF21378,5.7e-50,169.2
NP_415586.1,GFO_IDH_MocA,PF01408,3.9e-29,102.4
NP_415587.1,MurJ,PF03023,1.1e-165,552.2
NP_415588.1,FlgN,PF05130,1e-18,68.7
NP_415589.1,FlgM,PF04316,1.4e-09,38.6
NP_415590.1,ChapFlgA,PF13144,5.9e-25,88.3
NP_415590.1,SAF,PF08666,1.3e-10,42.2
NP_415591.1,Flg_bb_rod,PF00460,8.4e-13,48.6
NP_415592.1,Flg_bbr_C,PF06429,1e-14,54.4
NP_415592.1,Flg_bb_rod,PF00460,3.9e-10,40.1
NP_415593.1,FlgD,PF03963,6e-25,87.9
NP_415593.1,FlgD_ig,PF13860,1.5e-22,79.9
NP_415593.1,FLgD_tudor,PF13861,6.6e-15,55.7
NP_415594.1,FlgE_D2,PF07559,8.1e-23,82.1
NP_415594.1,Flg_bbr_C,PF06429,6.3e-17,61.4
NP_415594.1,LlgE_F_G_D1,PF22692,3.1e-13,50.2
NP_415594.1,Flg_bb_rod,PF00460,6.3e-07,29.8
NP_415595.1,Flg_bbr_C,PF06429,2.2e-17,62.9
NP_415595.1,LlgE_F_G_D1,PF22692,3.8e-12,46.8
NP_415595.1,Flg_bb_rod,PF00460,1.5e-10,41.4
NP_415596.1,LlgE_F_G_D1,PF22692,5.4e-29,100.7
NP_415596.1,Flg_bbr_C,PF06429,2.8e-22,78.5
NP_415596.1,Flg_bb_rod,PF00460,8.7e-10,38.9
NP_415597.1,FlgH,PF02107,8.7e-62,208.4
NP_415598.3,FlgI,PF02119,3.9e-139,463.9
NP_415599.1,Glucosaminidase,PF01832,3.1e-35,122.1
NP_415599.1,Rod-binding,PF10135,2.2e-18,67.1
NP_415600.1,FlgK_D1,PF22638,6.1e-79,265.5
NP_415600.1,flgK_1st_1,PF21158,3.8e-28,97.9
NP_415600.1,Flg_bb_rod,PF00460,3.3e-05,24.3
