protein,pfam_name,pfam_accession,full_seq_evalue,full_seq_score,full_seq_bias,best_domain_evalue,best_domain_score,best_domain_bias
NP_415103.1,Response_reg,PF00072,2.1e-29,96.9,0.0,3.4e-29,96.2,0.0
NP_415103.1,Trans_reg_C,PF00486,2.8e-28,92.8,0.0,4.6e-28,92.1,0.0
NP_415109.1,MS_channel_2nd,PF00924,1.6e-19,64.7,1.0,5.3e-19,63.1,0.0
NP_415110.1,Nitroreductase,PF00881,3.7e-29,97.0,0.0,4.9e-29,96.6,0.0
NP_415115.2,ACPS,PF01648,1.6e-16,55.3,0.3,3.3e-16,54.3,0.3
NP_415118.1,AMP-binding,PF00501,8.5e-90,296.2,0.2,1.2e-89,295.7,0.2
NP_415118.1,PP-binding,PF00550,2.8e-14,48.1,0.1,9.6e-14,46.4,0.1
NP_415120.1,ABC_tran,PF00005,1.9e-36,120.6,0.0,2.7e-36,120.1,0.0
NP_415123.1,MFS_1,PF07690,8.6e-30,98.7,63.7,4.6e-20,66.7,29.2
NP_415126.1,AMP-binding,PF00501,7.2e-69,227.3,0.0,8.9e-69,227.0,0.0
NP_415126.1,AMP-binding_C,PF13193,3.4e-14,48.5,0.1,1.2e-13,46.8,0.1
NP_415127.1,PP-binding,PF00550,3.1e-09,32.0,0.0,5.2e-09,31.2,0.0
NP_415128.1,adh_short_C2,PF13561,2.1e-53,176.2,2.0,2.8e-53,175.8,2.0
NP_415128.1,adh_short,PF00106,2e-48,159.4,3.4,4.4e-48,158.3,3.4
NP_415128.1,Epimerase,PF01370,2.6e-06,21.9,0.3,1.1e-05,19.8,0.2
NP_415129.1,4HBT,PF03061,6.2e-21,69.5,0.1,9.6e-21,68.9,0.1
NP_415133.1,Aminotran_1_2,PF00155,2.1e-61,203.0,0.0,2.4e-61,202.8,0.0
NP_415133.1,Cys_Met_Meta_PP,PF01053,1.6e-08,28.4,0.0,2.7e-08,27.6,0.0
NP_415134.1,ParB_N,PF02195,5e-08,28.0,0.0,1.6e-07,26.4,0.0
NP_415136.1,HTH_1,PF00126,4e-20,66.6,0.0,7.8e-20,65.6,0.0
NP_415136.1,LysR_substrate,PF03466,1.4e-11,39.1,0.0,2e-11,38.6,0.0
NP_415138.1,AhpC-TSA,PF00578,1.1e-36,120.4,0.1,1.4e-36,120.1,0.1
NP_415139.2,Pyr_redox_2,PF07992,2.6e-50,166.4,6.1,4.6e-50,165.5,6.0
NP_415141.1,ADH_N,PF08240,1.2e-27,91.2,0.2,3.3e-27,89.8,0.2
NP_415141.1,ADH_zinc_N,PF00107,1.1e-13,46.2,0.1,4.8e-12,40.9,0.0
NP_415143.1,GreA_GreB,PF01272,3.5e-23,76.4,0.0,4.7e-23,76.0,0.0
NP_415152.1,HATPase_c,PF02518,1.9e-19,65.1,0.0,3.3e-19,64.3,0.0
NP_415153.1,Response_reg,PF00072,3e-21,70.6,0.0,9.9e-21,69.0,0.0
NP_415161.1,Radical_SAM,PF04055,1.2e-24,82.3,0.0,1.8e-24,81.7,0.0
NP_415162.4,LysR_substrate,PF03466,2.7e-18,61.0,0.0,3.7e-18,60.6,0.0
NP_415162.4,HTH_1,PF00126,5.2e-16,53.4,0.0,8.8e-16,52.6,0.0
NP_415167.1,FTSW_RODA_SPOVE,PF01098,6.7e-130,428.1,29.4,8.3e-130,427.8,29.4
NP_415168.1,Transpeptidase,PF00905,1.5e-82,272.1,0.1,2.1e-82,271.6,0.1
NP_415168.1,PBP_dimer,PF03717,2.8e-48,159.7,0.8,4.3e-48,159.1,0.8
NP_415170.4,RsfS,PF02410,3.6e-35,115.2,0.1,4e-35,115.0,0.1
NP_415171.1,His_Phos_1,PF00300,2e-58,192.2,0.5,2.2e-58,192.1,0.5
NP_415172.1,CTP_transf_like,PF01467,5.1e-33,109.1,0.0,6e-33,108.8,0.0
NP_415175.1,tRNA-synt_1_2,PF13603,9.3e-83,271.2,0.0,1.5e-82,270.5,0.0
NP_415175.1,tRNA-synt_1,PF00133,2.5e-52,172.9,5.4,1.4e-32,107.9,2.0
NP_415175.1,tRNA-synt_1g,PF09334,3.6e-34,113.0,0.1,9.4e-25,82.0,0.0
NP_415175.1,Anticodon_1,PF08264,1e-21,72.3,0.0,1.8e-21,71.5,0.0
NP_415183.1,HSP70,PF00012,6.6e-118,389.3,0.0,5.6e-100,330.1,0.0
NP_415185.1,ABC_tran,PF00005,1.2e-37,124.5,0.0,1.7e-37,124.0,0.0
NP_415186.1,BPD_transp_1,PF00528,4.5e-20,67.1,19.9,5.9e-20,66.7,19.9
NP_415187.1,BPD_transp_1,PF00528,5.1e-29,96.2,8.2,5.1e-29,96.2,8.2
NP_415191.1,CorC_HlyC,PF03471,4.9e-26,85.6,1.2,1.7e-25,83.8,0.0
NP_415191.1,CBS,PF00571,6.4e-19,63.1,2.9,2.2e-10,35.7,0.1
NP_415192.1,YbeY,PF02130,4.4e-43,141.6,0.0,4.8e-43,141.5,0.0
NP_415193.2,PhoH,PF02562,2.6e-100,329.0,0.0,3.4e-100,328.6,0.0
NP_415194.1,Radical_SAM,PF04055,5.9e-29,96.3,0.0,9.1e-29,95.7,0.0
NP_415200.1,GATase_6,PF13522,3.5e-41,135.2,0.0,7.9e-41,134.1,0.0
NP_415201.1,Hydrolase,PF00702,2.9e-19,65.1,0.0,3.5e-19,64.9,0.0
NP_415201.1,HAD_2,PF13419,1.4e-10,36.4,0.0,9.4e-10,33.7,0.0
NP_415203.1,Amidohydro_1,PF01979,1.1e-51,171.0,0.6,1.3e-51,170.8,0.6
NP_415206.1,tRNA-synt_1c,PF00749,3e-131,431.9,0.0,3.9e-131,431.5,0.0
NP_415214.1,PGM_PMM_I,PF02878,1.7e-33,110.2,0.1,4.9e-33,108.7,0.1
NP_415214.1,PGM_PMM_III,PF02880,2.4e-33,109.6,0.0,4.7e-33,108.7,0.0
NP_415214.1,PGM_PMM_II,PF02879,3.3e-17,57.9,0.0,8.8e-17,56.5,0.0
NP_415214.1,PGM_PMM_IV,PF00408,1.8e-08,29.3,0.0,5e-08,27.9,0.0
NP_415222.1,Response_reg,PF00072,1.3e-32,107.3,0.0,1.8e-32,106.8,0.0
NP_415222.1,Trans_reg_C,PF00486,1.3e-24,81.1,0.0,2.7e-24,80.0,0.0
NP_415223.1,HATPase_c,PF02518,2.9e-29,96.7,0.0,8.5e-29,95.2,0.0
NP_415223.1,HisKA,PF00512,8.6e-15,49.6,1.3,2.3e-14,48.2,1.3
NP_415225.1,Hydrolase,PF00702,1.1e-31,105.7,1.7,2.1e-31,104.8,1.7
NP_415225.1,E1-E2_ATPase,PF00122,5.5e-22,72.5,0.0,1.2e-21,71.4,0.0
NP_415225.1,Hydrolase_3,PF08282,1.7e-06,22.9,1.2,6.3e-06,21.0,0.3
NP_415237.1,MFS_1,PF07690,1.7e-19,64.8,48.3,3.7e-18,60.4,44.5
NP_415254.1,Transket_pyr,PF02779,1e-54,179.7,0.0,1.8e-54,179.0,0.0
NP_415255.1,Biotin_lipoyl,PF00364,4e-17,56.8,0.2,9e-17,55.7,0.2
NP_415257.1,CoA_binding,PF02629,7.1e-34,111.5,0.8,7.1e-34,111.5,0.8
NP_415264.1,4HBT,PF03061,3.2e-19,64.0,0.5,4.7e-19,63.5,0.5
NP_415273.1,Cation_efflux,PF01545,3.8e-53,175.1,13.9,4.7e-53,174.8,13.9
NP_415276.1,His_Phos_1,PF00300,5.8e-38,125.5,0.1,3.1e-31,103.5,0.2
NP_415278.1,GHMP_kinases_N,PF00288,4.2e-23,76.4,0.2,8e-23,75.5,0.2
NP_415279.1,HIT,PF01230,9.5e-07,24.4,0.0,6e-05,18.6,0.0
NP_415280.3,Epimerase,PF01370,1.6e-66,219.1,0.0,2e-66,218.7,0.0
NP_415280.3,adh_short,PF00106,2.7e-08,28.4,0.0,5e-08,27.6,0.0
NP_415281.1,ABC_tran,PF00005,8.8e-52,170.3,0.0,5.9e-30,99.6,0.0
NP_415281.1,AAA,PF00004,2.9e-06,22.7,0.1,0.0015,13.9,0.0
NP_415285.1,BPD_transp_1,PF00528,3.6e-21,70.7,13.8,4.7e-21,70.3,13.8
NP_415286.1,ABC_tran,PF00005,7.6e-36,118.7,0.0,1.3e-35,118.0,0.0
NP_415287.1,Hydrolase_3,PF08282,3.4e-66,218.5,0.0,3.8e-66,218.3,0.0
NP_415287.1,Hydrolase,PF00702,3.1e-16,55.2,0.3,1.8e-13,46.2,0.3
NP_415289.4,LysR_substrate,PF03466,6.7e-48,157.7,0.0,9.6e-48,157.2,0.0
NP_415289.4,HTH_1,PF00126,2.2e-23,77.0,0.2,4.6e-23,76.0,0.2
NP_415296.1,Radical_SAM,PF04055,6e-27,89.8,0.0,1e-25,85.8,0.0
NP_415297.1,Aminotran_1_2,PF00155,2.4e-73,242.3,0.0,2.7e-73,242.1,0.0
NP_415298.1,Methyltransf_25,PF13649,3e-22,74.1,0.0,7e-22,73.0,0.0
NP_415300.1,UvrB_inter,PF17757,5.8e-35,114.3,1.0,1.3e-34,113.1,0.1
NP_415300.1,UvrB,PF12344,6.9e-24,78.4,0.7,4e-23,76.0,0.1
NP_415300.1,Helicase_C,PF00271,3.3e-22,73.8,0.2,8.9e-22,72.4,0.2
NP_415300.1,ResIII,PF04851,4.7e-13,44.3,0.0,3.9e-12,41.3,0.0
NP_415300.1,DEAD,PF00270,2.5e-08,28.7,0.1,3.8e-06,21.6,0.0
NP_415300.1,UVR,PF02151,2.2e-08,28.6,1.4,7.2e-08,27.0,1.4
NP_415302.1,Radical_SAM,PF04055,4.9e-37,122.6,0.0,7.1e-37,122.1,0.0
NP_415311.1,Exo_endo_phos,PF03372,1.1e-25,85.6,1.1,1.2e-25,85.4,1.1
NP_415315.4,ABC_tran,PF00005,1.6e-62,205.1,0.0,2.7e-32,107.2,0.0
NP_415315.4,AAA,PF00004,3.2e-06,22.6,0.3,0.011,11.2,0.1
NP_415317.4,TetR_N,PF00440,4.9e-16,53.3,2.6,1.5e-15,51.7,0.7
NP_415318.1,DEAD,PF00270,5.1e-52,170.9,0.0,1e-50,166.7,0.0
NP_415318.1,Helicase_C,PF00271,1.2e-32,107.4,0.0,7.5e-32,104.8,0.0
NP_415318.1,ResIII,PF04851,1.3e-09,33.1,0.0,3.2e-09,31.8,0.0
NP_415320.1,DEAD,PF00270,4.6e-11,37.7,0.1,8.4e-08,27.1,0.0
NP_415320.1,ResIII,PF04851,1.4e-08,29.8,0.0,1.5e-05,19.9,0.0
NP_415329.4,MS_channel_2nd,PF00924,8.4e-20,65.7,1.3,1.7e-19,64.7,1.3
NP_415330.1,ABC_tran,PF00005,5.9e-40,132.0,0.0,8.2e-40,131.5,0.0
NP_415331.1,BPD_transp_1,PF00528,8.9e-31,102.0,16.6,1.2e-30,101.5,16.6
NP_415334.1,EamA,PF00892,4.8e-24,80.1,37.0,1e-19,66.1,14.7
NP_415341.1,ABC_tran,PF00005,1.2e-49,163.3,0.0,8.3e-27,89.4,0.0
NP_415341.1,ABC_tran_Xtn,PF12848,9.8e-26,84.7,3.5,7e-23,75.5,2.4
NP_415341.1,MMR_HSR1,PF01926,3e-06,22.3,0.0,0.004,12.2,0.1
NP_415343.1,Hydrolase_3,PF08282,1e-54,180.9,0.0,1.1e-54,180.7,0.0
NP_415343.1,Hydrolase,PF00702,2e-10,36.3,0.5,2.7e-09,32.6,0.5
NP_415345.2,Radical_SAM,PF04055,1.7e-15,52.5,0.5,9.5e-14,46.8,0.5
NP_415350.2,ABC_tran,PF00005,3e-65,213.9,0.0,1.5e-32,108.0,0.0
NP_415350.2,SMC_N,PF02463,1.6e-13,45.5,0.5,1.3e-08,29.5,0.4
NP_415351.1,SBP_bac_5,PF00496,3.6e-103,340.4,9.8,4.6e-103,340.0,9.8
NP_415352.1,BPD_transp_1,PF00528,2.4e-44,146.2,11.2,2.4e-44,146.2,11.2
NP_415353.1,BPD_transp_1,PF00528,8.1e-35,115.1,13.5,8.1e-35,115.1,13.5
NP_415356.1,Radical_SAM,PF04055,2e-29,97.8,0.0,1.5e-27,91.7,0.0
NP_415363.1,MFS_1,PF07690,1.4e-31,104.6,42.6,1.8e-31,104.2,42.6
NP_415365.4,Hydrolase_3,PF08282,9.7e-56,184.2,0.1,1.1e-55,184.0,0.1
NP_415365.4,Hydrolase,PF00702,2.3e-14,49.1,0.1,3.2e-14,48.7,0.1
NP_415366.1,MFS_1,PF07690,2.1e-35,117.1,85.4,6.9e-21,69.4,23.9
NP_415367.1,TetR_N,PF00440,2.8e-09,31.6,0.1,4.4e-09,31.0,0.1
NP_415368.1,TrkA_C,PF02080,1.6e-23,77.4,0.3,3.2e-11,38.0,0.0
NP_415372.1,Nitroreductase,PF00881,1.4e-20,69.1,1.5,2.6e-19,65.0,1.5
NP_415373.1,Dala_Dala_lig_C,PF07478,6.2e-08,27.3,0.1,2.3e-07,25.4,0.1
NP_415376.4,ABC_tran,PF00005,4.2e-41,135.7,0.0,6.3e-41,135.1,0.0
NP_415377.1,BPD_transp_1,PF00528,4.4e-23,76.9,16.2,4.4e-23,76.9,16.2
NP_415378.1,BPD_transp_1,PF00528,8.5e-16,53.1,21.4,8.5e-16,53.1,21.4
NP_415380.1,tRNA_U5-meth_tr,PF05958,1.3e-20,68.6,0.0,3.9e-18,60.5,0.0
NP_415380.1,MTS,PF05175,4.8e-07,24.4,0.0,7.9e-07,23.7,0.0
NP_415382.1,BPD_transp_1,PF00528,1.6e-16,55.5,15.9,3.9e-16,54.2,14.2
NP_415383.1,BPD_transp_1,PF00528,2.1e-18,61.6,13.7,2.2e-18,61.6,12.9
NP_415385.1,ABC_tran,PF00005,2.1e-40,133.5,0.0,2.9e-40,133.0,0.0
NP_415389.2,Epimerase,PF01370,1.1e-31,105.0,0.0,4.8e-31,102.9,0.0
NP_415389.2,adh_short,PF00106,3e-08,28.3,0.0,4.7e-08,27.6,0.0
NP_415390.4,Epimerase,PF01370,6.1e-17,56.7,0.0,1.4e-16,55.6,0.0
NP_415391.1,Aminotran_1_2,PF00155,1.3e-11,39.1,0.1,2e-11,38.6,0.1
NP_415392.1,TPP_enzyme_C,PF02775,4.9e-45,147.9,1.1,1.5e-44,146.4,0.4
NP_415392.1,TPP_enzyme_N,PF02776,3.6e-33,108.8,0.1,1e-32,107.4,0.1
NP_415400.1,MacB_PCD,PF12704,4.7e-49,162.4,6.1,1.7e-48,160.6,3.6
NP_415400.1,ABC_tran,PF00005,1.9e-35,117.4,0.0,3.7e-35,116.5,0.0
NP_415400.1,FtsX,PF02687,1.2e-20,68.7,9.8,1.2e-20,68.7,9.8
NP_415403.1,AAA_2,PF07724,5.3e-66,216.7,0.1,1.5e-60,198.9,0.0
NP_415403.1,Clp_N,PF02861,3.2e-32,106.4,5.7,4.2e-32,106.0,3.6
NP_415403.1,AAA_lid_9,PF17871,7.5e-31,101.1,1.3,2.5e-30,99.4,1.3
NP_415403.1,ClpB_D2-small,PF10431,1.7e-28,93.4,0.0,5.2e-28,91.9,0.0
NP_415403.1,AAA,PF00004,1.4e-27,91.7,0.1,3.3e-15,51.6,0.0
NP_415403.1,ResIII,PF04851,4.2e-08,28.2,0.0,0.00076,14.3,0.0
NP_415404.1,eIF-1a,PF01176,1.3e-30,99.8,0.1,1.5e-30,99.6,0.1
NP_415406.1,ABC_tran,PF00005,5.9e-35,115.8,0.3,1.2e-34,114.8,0.0
NP_415406.1,ABC_membrane,PF00664,2.7e-13,45.1,10.3,7.7e-13,43.6,10.2
NP_415407.1,ABC_membrane,PF00664,5.3e-53,175.3,3.4,6.9e-53,175.0,3.4
NP_415407.1,ABC_tran,PF00005,9.1e-32,105.5,0.0,1.6e-31,104.7,0.0
NP_415408.1,Pyr_redox_2,PF07992,1.1e-55,184.0,0.3,1.3e-55,183.8,0.3
NP_415410.1,FtsK_SpoIIIE,PF01580,1.7e-89,293.9,0.1,2.5e-89,293.4,0.1
NP_415410.1,FtsK_alpha,PF17854,8.4e-32,104.4,0.0,1.7e-31,103.4,0.0
NP_415410.1,FtsK_gamma,PF09397,2.1e-30,99.3,0.1,4.8e-30,98.2,0.1
NP_415412.1,MgsA_C,PF12002,7.3e-66,216.1,1.3,1.1e-65,215.5,0.8
NP_415412.1,AAA_assoc_2,PF16193,1.4e-26,87.5,0.1,5.1e-26,85.8,0.0
NP_415412.1,AAA,PF00004,3.2e-21,71.1,0.1,2.1e-20,68.4,0.0
NP_415412.1,RuvB_N,PF05496,1.1e-16,55.9,0.0,3.8e-16,54.2,0.0
NP_415413.1,tRNA-synt_2b,PF00587,6.1e-45,148.4,0.0,9.4e-45,147.8,0.0
NP_415413.1,Seryl_tRNA_N,PF02403,3.9e-36,118.6,3.3,6.3e-36,117.9,3.3
NP_415418.1,MFS_1,PF07690,5.4e-42,138.8,68.3,2e-29,97.5,41.0
NP_415420.1,LysR_substrate,PF03466,1e-34,114.7,0.0,1.5e-34,114.1,0.0
NP_415420.1,HTH_1,PF00126,1.6e-22,74.2,1.0,4.1e-22,72.9,0.8
NP_415422.1,Radical_SAM,PF04055,6.5e-30,99.4,0.1,9.7e-30,98.8,0.1
NP_415427.1,Aminotran_5,PF00266,9.2e-74,243.5,0.0,1e-73,243.3,0.0
NP_415428.1,EPSP_synthase,PF00275,1.7e-149,493.0,0.0,1.9e-149,492.8,0.0
NP_415430.1,Cytidylate_kin,PF02224,5.4e-89,292.4,0.1,6.1e-89,292.2,0.1
NP_415431.1,S1,PF00575,2.2e-105,340.2,35.2,1.3e-23,78.2,0.8
NP_415432.1,Bac_DNA_binding,PF00216,8.1e-33,107.5,0.0,8.9e-33,107.4,0.0
NP_415433.4,Competence,PF03772,7.2e-55,181.1,33.6,7.2e-55,181.1,33.6
NP_415433.4,Lactamase_B,PF00753,4e-25,83.8,0.2,7.2e-25,83.0,0.2
NP_415434.1,ABC_membrane,PF00664,2.6e-65,215.7,16.3,3.4e-65,215.3,16.3
NP_415434.1,ABC_tran,PF00005,8.5e-38,125.0,0.2,4e-37,122.8,0.0
NP_415441.1,Methyltransf_25,PF13649,3.5e-20,67.5,0.1,6.5e-20,66.6,0.1
NP_415441.1,MTS,PF05175,2.2e-07,25.6,0.0,3.2e-07,25.0,0.0
NP_415447.1,Lactamase_B,PF00753,4.2e-43,142.5,0.9,4.8e-43,142.3,0.9
NP_415448.1,Aminotran_1_2,PF00155,1.2e-100,332.1,0.0,1.4e-100,331.9,0.0
NP_415450.1,tRNA-synt_2,PF00152,8.2e-66,217.0,0.0,1e-65,216.7,0.0
NP_415450.1,tRNA_anti-codon,PF01336,2.5e-16,54.4,0.2,9.2e-16,52.6,0.0
NP_415453.1,ABC_tran,PF00005,2.8e-32,107.1,0.0,4e-32,106.6,0.0
NP_415454.4,BPD_transp_1,PF00528,3.8e-33,109.7,13.5,3.8e-33,109.7,13.5
NP_415465.1,DHO_dh,PF01180,1.3e-87,288.5,0.2,1.6e-87,288.3,0.2
NP_415468.1,Cons_hypoth95,PF03602,4.6e-16,53.9,0.0,4.4e-11,37.7,0.0
NP_415468.1,Methyltransf_25,PF13649,8.9e-11,37.4,0.0,3.4e-05,19.5,0.0
NP_415468.1,MTS,PF05175,2.2e-08,28.8,0.0,0.00033,15.2,0.0
NP_415469.1,ABC_tran,PF00005,2e-51,169.1,3.2,2.9e-27,90.9,0.0
NP_415469.1,SMC_N,PF02463,5e-14,47.2,0.1,2.1e-07,25.5,0.0
NP_415469.1,ABC_tran_Xtn,PF12848,1.1e-13,46.0,14.7,1.7e-13,45.4,2.4
NP_415469.1,TsaE,PF02367,7.2e-08,27.4,0.2,0.0012,13.8,0.1
NP_415469.1,AAA,PF00004,1.3e-07,27.1,0.0,0.00041,15.8,0.0
NP_415469.1,MMR_HSR1,PF01926,4.8e-07,24.9,0.1,0.006,11.7,0.0
NP_415482.1,UvrD-helicase,PF00580,8.4e-51,168.1,0.0,2.3e-50,166.7,0.0
NP_415482.1,UvrD_C,PF13361,2.3e-15,51.8,0.0,3.2e-13,44.8,0.0
NP_415483.2,MGS,PF02142,2.2e-19,64.4,0.0,2.9e-19,64.0,0.0
NP_415485.4,CoA_binding,PF02629,1.4e-06,23.9,0.0,2e-06,23.4,0.0
NP_415487.4,Cons_hypoth95,PF03602,5.7e-14,47.1,0.0,9e-14,46.5,0.0
NP_415487.4,MTS,PF05175,4.9e-08,27.7,0.0,7.7e-08,27.0,0.0
NP_415501.1,AAA_31,PF13614,1.8e-11,39.2,0.2,1.1e-10,36.6,0.0
NP_415513.2,HATPase_c,PF02518,1.3e-29,97.8,0.0,4.1e-29,96.2,0.0
NP_415513.2,HisKA,PF00512,4e-20,66.6,0.1,4e-20,66.6,0.1
NP_415513.2,Response_reg,PF00072,3.3e-16,54.4,0.2,2.4e-15,51.7,0.0
NP_415513.2,HAMP,PF00672,4.5e-09,31.5,0.4,4.6e-08,28.3,0.1
NP_415515.1,Response_reg,PF00072,2.1e-30,100.1,0.1,4e-30,99.2,0.1
NP_415515.1,Trans_reg_C,PF00486,3.3e-19,63.7,0.2,6.1e-19,62.9,0.2
NP_415520.1,DnaJ_C,PF01556,2.6e-43,142.6,0.1,3.4e-43,142.2,0.1
NP_415520.1,DnaJ,PF00226,2.8e-26,86.4,1.1,6.1e-26,85.3,1.1
NP_415528.1,Nitroreductase,PF00881,3.3e-15,51.6,0.0,4.5e-15,51.2,0.0
NP_415533.1,TetR_N,PF00440,1.7e-16,54.7,0.2,2.7e-16,54.1,0.2
NP_415534.1,Aldedh,PF00171,2.8e-111,367.2,0.2,5e-111,366.4,0.2
NP_415539.1,PhoH,PF02562,5.7e-78,256.0,0.0,7.4e-78,255.6,0.0
NP_415541.1,Glycos_transf_2,PF00535,4.5e-41,135.5,0.0,6.4e-41,135.0,0.0
NP_415551.2,2-Hacid_dh_C,PF02826,1.3e-47,156.3,0.0,1.7e-47,156.0,0.0
NP_415552.1,PHP,PF02811,3.8e-11,38.5,1.1,2.4e-10,35.9,1.1
NP_415567.1,Glycos_transf_2,PF00535,7.9e-22,72.9,0.0,1.2e-21,72.3,0.0
NP_415571.1,MFS_1,PF07690,8.4e-59,194.1,44.1,1.6e-36,120.8,27.5
NP_415573.1,Rhodanese,PF00581,1.8e-18,61.8,0.1,5.8e-18,60.2,0.1
NP_415577.1,DAO,PF01266,9.5e-54,178.1,0.1,1.1e-53,178.0,0.1
NP_415580.1,Amidohydro_1,PF01979,1.1e-22,75.6,0.0,1.6e-22,75.1,0.0
NP_415583.4,MFS_1,PF07690,8.1e-38,125.1,49.0,4.4e-27,89.8,28.2
NP_415584.1,Acetyltransf_1,PF00583,1e-12,43.3,0.2,1.3e-12,42.9,0.2
NP_415602.1,S1,PF00575,2e-14,48.7,0.0,5e-14,47.4,0.0
NP_415604.1,PseudoU_synth_2,PF00849,2.4e-30,100.7,0.1,3.9e-30,100.0,0.1
NP_415604.1,S4,PF01479,6.9e-13,43.1,0.2,1.3e-12,42.3,0.2
NP_415607.1,Ribosomal_L32p,PF01783,2.9e-22,73.6,0.9,3.1e-22,73.5,0.9
NP_415609.1,ACP_syn_III_C,PF08541,1.9e-39,128.7,0.0,6.4e-39,127.0,0.0
NP_415609.1,ACP_syn_III,PF08545,1.6e-31,103.1,1.5,3e-31,102.2,1.5
NP_415610.1,Acyl_transf_1,PF00698,5.1e-42,139.3,3.4,6.1e-42,139.1,3.4
NP_415611.1,adh_short_C2,PF13561,3.7e-68,224.5,7.0,4.2e-68,224.3,7.0
NP_415611.1,adh_short,PF00106,3.8e-64,210.7,3.5,4.7e-64,210.4,3.5
NP_415611.1,Epimerase,PF01370,9.2e-08,26.7,0.2,1.3e-07,26.1,0.2
NP_415612.1,PP-binding,PF00550,2.8e-18,60.9,0.2,3.2e-18,60.8,0.2
NP_415613.1,ketoacyl-synt,PF00109,8.6e-63,207.2,0.8,8.6e-63,207.2,0.8
NP_415613.1,Ketoacyl-synt_C,PF02801,1.1e-42,139.8,1.4,2.1e-42,138.9,1.4
NP_415614.1,Aminotran_4,PF01063,2.7e-53,176.1,0.0,3e-53,175.9,0.0
NP_415616.1,Thymidylate_kin,PF02223,2.1e-62,205.0,0.0,2.4e-62,204.8,0.0
NP_415617.1,DNA_pol3_delta2,PF13177,8.8e-40,131.3,0.0,1.7e-39,130.3,0.0
NP_415618.1,TatD_DNase,PF01026,3.6e-88,290.1,0.0,4.1e-88,289.9,0.0
NP_415621.3,HIT,PF01230,3.8e-33,109.1,0.1,4.3e-33,108.9,0.1
NP_415627.1,Pyr_redox_2,PF07992,1.9e-66,219.3,0.1,2.2e-66,219.1,0.1
NP_415627.1,DAO,PF01266,1.1e-11,39.8,3.9,2.3e-05,19.0,0.0
NP_415629.4,TetR_N,PF00440,2e-17,57.7,0.2,4.1e-17,56.7,0.2
NP_415631.1,LysM,PF01476,1.8e-07,26.0,0.0,4.2e-07,24.8,0.0
NP_415632.1,TRCF,PF03461,4.3e-33,108.5,0.1,1.1e-31,104.0,0.0
NP_415632.1,DEAD,PF00270,1.1e-30,101.5,0.2,4.3e-30,99.6,0.1
NP_415632.1,UvrB_inter,PF17757,1e-27,91.1,0.0,2.9e-27,89.6,0.0
NP_415632.1,Helicase_C,PF00271,1.7e-24,81.2,1.7,3.6e-21,70.5,0.5
NP_415632.1,CarD_TRCF_RID,PF02559,2.2e-21,70.7,0.1,5.3e-21,69.4,0.1
NP_415632.1,ResIII,PF04851,1.1e-15,52.8,0.0,2.5e-15,51.7,0.0
NP_415634.1,FtsX,PF02687,6.5e-19,63.1,15.8,1.5e-18,62.0,13.2
NP_415634.1,MacB_PCD,PF12704,1.6e-15,52.8,0.3,1.6e-15,52.8,0.3
NP_415635.4,ABC_tran,PF00005,2.7e-40,133.1,0.0,3.8e-40,132.6,0.0
NP_415636.1,FtsX,PF02687,2.2e-20,67.9,12.0,1.3e-19,65.3,6.6
NP_415636.1,MacB_PCD,PF12704,1.6e-19,66.0,0.3,1.6e-19,66.0,0.3
NP_415642.1,BPD_transp_1,PF00528,3.6e-21,70.6,16.7,3.6e-21,70.6,16.7
NP_415643.3,BPD_transp_1,PF00528,4.3e-16,54.1,18.2,4.3e-16,54.1,18.2
NP_415644.1,ABC_tran,PF00005,9.6e-39,128.1,0.0,2.2e-38,126.9,0.0
NP_415645.1,Peptidase_M20,PF01546,9.4e-19,63.0,0.4,2.4e-18,61.7,0.4
NP_415647.1,HATPase_c,PF02518,1.3e-18,62.4,0.1,2.3e-18,61.6,0.1
NP_415648.1,Response_reg,PF00072,8.1e-28,91.8,0.2,1.3e-27,91.2,0.2
NP_415648.1,Trans_reg_C,PF00486,3.2e-21,70.2,0.1,6.9e-21,69.1,0.1
NP_415649.1,Lyase_1,PF00206,2.4e-85,281.6,0.0,3.1e-85,281.2,0.0
NP_415651.4,tRNA_Me_trans,PF03054,5.9e-86,282.2,0.0,8e-86,281.8,0.0
NP_415651.4,NAD_synthase,PF02540,2.2e-11,38.2,0.0,3.3e-09,31.1,0.0
NP_415652.1,NUDIX,PF00293,7.3e-22,72.8,0.2,9.4e-22,72.4,0.2
NP_415653.4,PseudoU_synth_2,PF00849,1.2e-19,66.0,0.2,1.4e-18,62.5,0.0
NP_415658.1,Phage_integrase,PF00589,2.9e-18,61.1,2.2,3.4e-18,60.9,0.3
NP_415663.1,Peptidase_S24,PF00717,2.6e-28,93.0,0.0,8.1e-28,91.4,0.0
NP_415680.1,MerR_1,PF13411,1.7e-20,67.9,0.0,3e-20,67.1,0.0
NP_415693.1,AAA_31,PF13614,7.3e-21,69.8,0.4,1.3e-20,68.9,0.4
NP_415701.1,Peptidase_S24,PF00717,6.2e-32,104.7,0.0,7.1e-32,104.5,0.0
NP_415702.1,IMS,PF00817,4e-45,148.3,0.0,1.1e-44,146.8,0.0
NP_415707.1,DAO,PF01266,1.1e-83,276.6,1.0,1.3e-83,276.4,1.0
